ID,Name,Simple Trading Strategy,QC Sharpe: As at end of July 2021,QC Max Drawdown: As at end of July 2021
271,Earnings Announcements Combined with Stock Repurchases,"The investment universe consists of stocks from NYSE/AMEX/Nasdaq (no ADRs, CEFs or REITs), bottom 25% of firms by market cap are dropped. Each quarter, the investor looks for companies that announce a stock repurchase program (with announced buyback for at least 5% of outstanding stocks) during days -30 to -15 before the earnings announcement date for each company. Investor goes long stocks with announced buybacks during days -10 to +15 around an earnings announcement. The portfolio is equally weighted and rebalanced daily.",-0.16,0.70%
281,Skewness Effect in Commodities,"The investment universe consists of 27 futures contracts on commodities. Each month, investor calculates skewness (3rd moment of returns) from daily returns from data going 12 months into the past for all futures. Commodities are then sorted into quintiles and investor goes long quintile containing the commodities with the 20% lowest total skewness and short quintile containing the commodities with the 20% highest total skewness (over a ranking period of 12 months). The resultant portfolio is equally weighted and rebalanced each month.",0.745,40.00%
290,Consistent Momentum Strategy,"The investment universe consists of stocks listed at NYSE, AMEX, and NASDAQ, whose price data (at least for the past seven months) are available at the CRSP database. The investor creates a zero-investment portfolio at the end of the month t, longing stocks that are in the top decile in terms of returns both in the period from t-7 to t-1 and from t-6 to t, while shorting stocks in the bottom decile in both periods (i.e. longing consistent winners and shorting consistent losers). The stocks in the portfolio are weighted equally. The holding period is six months, with no rebalancing during the period. There is a one-month skip between the formation and holding period.",0.054,85.30%
307,Reversal During Earnings-Announcements,"The investment universe consists of stocks listed at NYSE, AMEX, and NASDAQ, whose daily price data are available at the CRSP database. Earnings-announcement dates are collected from Compustat. Firstly, the investor sorts stocks into quintiles based on firm size. Then he further sorts the stocks in the top quintile (the biggest) into quintiles based on their average returns in the 3-day window between t-4 and t-2, where t is the day of the earnings announcement. The investor goes long on the bottom quintile (past losers) and short on the top quintile (past winners) and holds the stocks during the 3-day window between t-1, t, and t+1. Stocks in the portfolios are weighted equally.",-0.032,39.60%
376,Combining Fundamental FSCORE and Equity Short-Term Reversals,"The investment universe consists of common stocks (share code 10 or 11) listed in NYSE, AMEX, and NASDAQ exchanges. Stocks with prices less than $5 at the end of the formation period are excluded.

The range of FSCORE is from zero to nine points. Each signal is equal to one (zero) point if the signal indicates a positive (negative) financial performance. A firm scores one point if it has realized a positive return-on-assets (ROA), positive cash flow from operations, a positive change in ROA, a positive difference between net income from operations (Accrual), a decrease in the ratio of long-term debt to total assets, a positive change in the current ratio, no-issuance of new common equity, a positive change in gross margin ratio and lastly a positive change in asset turnover ratio. Firstly, construct a quarterly FSCORE using the most recently available quarterly financial statement information.

Monthly reversal data are matched each month with a most recently available quarterly FSCORE. The firm is classified as a fundamentally strong firm if the firm’s FSCORE is greater than or equal to seven (7-9), fundamentally middle firm (4-6) and fundamentally weak firm (0-3). Secondly, identify the large stocks subset – those in the top 40% of all sample stocks in terms of market capitalization at the end of formation month t. After that, stocks are sorted on the past 1-month returns and firm’s most recently available quarterly FSCORE. Take a long position in past losers with favourable fundamentals (7-9) and simultaneously a short position in past winners with unfavourable fundamentals (0-3). The strategy is equally weighted and rebalanced monthly.",0.166,81.50%
419,Payday Anomaly,"The investment universe consists of the S&P500 index. Simply, buy and hold the index during the 16th day in the month during each month of the year.",0.385,12.20%
460,ESG Level Factor Investing Strategy,"As we have previously mentioned, the choice of the database of ESG scores can alter results. This paper uses for the assessments of environment, social, and governance performance of single firms database provided by Asset4. Scores are updated every year, therefore to obtain monthly ESG data, the scores remain unchanged until the next assessment.

The investment universe consists of stocks of the North America region (Canada and the United States) that have ESG scores available. Stocks with a price of less than one USD are excluded. Paper examines the returns as abnormal returns according to the methodology of Daniel et al. (1997). Such methodology controls for risk factors such as size, book-to-market ratio, and momentum. The idea is to match a stock along with the mentioned factors to a benchmark portfolio that contains stocks with similar characteristics. Therefore, for the North America region, we have 4×4 benchmark portfolios. The abnormal return is calculated as the return of stock minus the return of stock´s matching benchmark portfolio return (equation 1, page 13).

Finally, each month stocks are ranked according to their E, S and G scores. Long top 20% stocks of each score and short the bottom 20% stocks of each score. Therefore, we have one complex strategy that consists of three individual strategies (for representative purposes; the paper examines each strategy individually). The strategy is equally-weighted: both stocks in the quintiles and individual strategies. The strategy is rebalanced yearly.",0.84,3.50%
461,ESG Factor Momentum Strategy,"The investment universe consists of stocks in the MSCI World Index. Paper uses MSCI ESG Ratings as the ESG database. The ESG Momentum strategy is built by overweighting, relative to the MSCI World Index, companies that increased their ESG ratings most during the recent past and underweight those with decreased ESG ratings, where the increases and decreases are based on a 12-month ESG momentum. The paper uses the Barra Global Equity Model (GEM3) for portfolio construction with constraints that can be found in Appendix 2. Therefore, this strategy is very specific, but we aim to present the idea, not the portfolio construction. The strategy is rebalanced monthly.",0.25,4.30%
522,"ESG, Price Momentum and Stochastic Optimization","The investment universe consists of large US stocks for which OWL Analytics ESG data were provided. Firstly, consider a scaled total ESG score, that is between zero and one, and classical equity 12-months momentum signal where the last month is omitted. The knapsack problem consists of finding the combination of objects (stocks) that maximize the value, given the condition of the maximal weight. In the case of ESG-MOM strategy (a strategy that wants the highest ESG stocks with the largest momentum), the weight is represented by the reversed value (absolute value of 1 minus ESG score) to ensure that the condition of maximal weight is meaningful. Maximal weight (weight cap) is set to be a sum of the top 10% of reversed ESG scores, which ensures that only top ESG stocks should be included. The value is represented by the ranked momentum, where the higher the rank of the stock is, the higher momentum is. The combination of weight, weight cap and value creates an optimization problem represented by equation 1 in the paper. The optimization problem is solved by the simulated annealing and results in the optimized long-only portfolio consisting of high ESG, high Momentum stocks. The strategy is equally-weighted and rebalanced monthly.",,
537,The Positive Similarity of Company Filings and Stock Returns,"The investment universe consists of stocks with large market cap covered by the Brain Company, for which stock prices were available to download from Yahoo Finance and had full history during the sample period. Firstly, only the similarity of the positive language is considered. The positive similarity score is calculated as the cosine similarity and is provided by the Brain Company. Each month, stocks are ranked based on the positive similarity language score of their most recent company filing and sorted into deciles. Long the bottom decile and short the top decile. The strategy is equally-weighted and rebalanced monthly.",,
578,Combining Smart Factors Momentum and Market Portfolio,"The investment universe consists of factors from the Alpha Architect’s Factor Investing Data Library (factor for all major investment styles such as Value, Quality, Momentum, Size and Volatility) based on the top 1500 US stocks. Firstly construct the fast and slow signals for each factor. The fast signal is the past one-month return, and the slow signal is the past twelve-months return. For each type of signal, to obtain the weights, cross-sectionally rank signals’ based on their absolute values. The weight for the individual slow or fast signal is equal to the corresponding rank divided by the sum of all ranks and multiplied by the signal’s sign (equations 3 and 4 in the paper). For the dynamically blended strategy (smart factors strategy), each factor has a final weight of three-quarters of the weight of fast signal plus one-quarter of the weight of slow signal (equation 12). Nextly, consider the top 1500 US stocks as the market portfolio. The combined smart factors and market strategy finds the weights of the market and factor portfolio using past moving averages of the returns. The combined strategy looks back on the past twelve months, and twelve MAs of the returns. Suppose the MA for active investing (factor momentum) is larger than MA for market portfolio, then the active investing scores one point. Otherwise, the market portfolio gets one point. Therefore, each month, the weight of the factor momentum and market portfolio is determined by the number of “winning” (loosing) moving averages (equations 13 and 14). The strategy is rebalanced monthly.",0.436,12.20%
